env,actor_0_alpha,actor_0_seed,actor_1_alpha,actor_1_seed,algorithm,n_eval_episodes,mean_reward,mean_KL,q_output_diff,jacobian_diff
HalfCheetah-v4,0.1,4,0.1,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,14943.862384716362,25.675514221191406,134.3747607421875,87.85385178848264
HalfCheetah-v4,0.1,4,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,14860.125453667766,14.425185203552246,340.07012451171875,61.91379222846983
HalfCheetah-v4,0.1,4,0.1,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,14915.972432862569,106.1103286743164,365.425986328125,100.86506072483061
HalfCheetah-v4,0.1,1,0.1,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,14503.264586935462,14.356609344482422,196.5410400390625,97.70901422119142
HalfCheetah-v4,0.1,1,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,14496.646600034443,54.41688919067383,368.20451904296874,81.68081961029053
HalfCheetah-v4,0.1,1,0.1,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,14491.56191025474,94.35250091552734,475.1327856445312,110.97877607070926
HalfCheetah-v4,0.1,3,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,14845.746265852962,57.123294830322266,453.45189697265624,77.27452434890746
HalfCheetah-v4,0.1,3,0.1,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,14925.265317438489,120.40245056152344,422.9824853515625,79.49196280158996
HalfCheetah-v4,0.1,2,0.1,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,11634.408258574018,64.45953369140625,186.29068359375,71.28460995031357
HalfCheetah-v4,0.0,5,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,10532.319177435435,6613.9423828125,177.53057006835937,1122.0892343786618
HalfCheetah-v4,0.0,5,0.0,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,10546.303133899635,5223.56005859375,190.37159912109374,1163.3014082376098
HalfCheetah-v4,0.0,5,0.0,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,10526.103091687099,6216.52490234375,272.073388671875,2040.427016900635
